key,text,encoded_hex,cell_count,missing
bio_102073,Nhung cuoi cung khong phai doi thu cua Vien Thieu nen thua tran va chet,F26EF546F549F3C4F252F4D1F14CF54BF063F157F2D0F14AF0D3F074F57B,15,
bio_1020E9,[loi extract],5BF361F4B75D,2,
bio_1020F1,Nhung vi Luu Bi roi di va loan su o bien gioi Tay Luong,F26EF067F351F5DFF1E0F4E2F074F364F1BAF25BF5DBF473F17CF353,14,
bio_1021ED,Dong Trac,F4CEF0D9,2,
bio_1021F8,Nhung sau do bi su thong minh va muu luoc cua ong lam say me,F26EF1CDF4D5F5DEF1BAF14EF2EFF074F2DCF355F54BF256F3A8F1CBF2F7,15,
bio_102259,Khi giao chien voi Quan Vu thi thua tran dau hang,F3D6F478F574F05CF1F4F057F15CF14AF0D3F4EBF460,11,
bio_1022AC,Vuong Lang,F052F3A2,2,
bio_1022B1,Sau duoc Tao Thao trong dung roi chuyen sang phuc vu ong,F1CEF4BFF1A6F168F0BEF4C2F1E0F554F1D3F1FCF056F256,12,
bio_1022F9,Kien quyet khuyen Ma Ung phai dong quan o vi tri chan duong,F3BCF1E8F3C0F34BF07EF252F4CDF1F3F25BF067F0CAF5ABF4BC,13,
bio_10238D,Cuoi cung khien Lu Bo giet Dong Trac,F547F549F3D1F35DF5D2F475F4CEF0D9,8,
bio_1023E1,Tung dua ra loi khuyen dung dan cho Quan Vu,F0A9F4C8F1E5F361F3C0F4C2F4F6F56BF1F4F057,10,
bio_102457,[loi extract],5BF361F4B75D,2,
bio_10245D,Khi Tao Thao nam xuong thi dau hang phuc vu ong,F3D6F1A6F168F2D9EFF5F15CF4EBF460F1FCF056F256,11,
bio_1024A9,Cung Nhan Luong la mot trong nhung tuong hung manh tieng tam,F54AF2A1F353F3B0F2E5F0BEF26DF0A5F3F2F341F0F3F1AC,12,
bio_1024F5,[loi extract],5BF361F4B75D,2,
bio_1024FD,Tao Thao trung ke giet Thai Muu va Truong Van,F1A6F168F0B8F3E4F475F173F2DDF074F0B6F072,10,
bio_10255E,[loi extract],5BF361F4B75D,2,
bio_102565,Sau bi Vien Dam tan cong roi dau hang Tao Thao,F1CEF5DEF063F4F9F1AAF54FF1E0F4EBF460F1A6F168,11,
bio_1025D9,Cung Tao Hong va Tao Nhan giu quan Ngo,F54AF1A6F3FCF074F1A6F2A1F471F1F3F2BD,9,
bio_10262B,[loi extract],5BF361F4B75D,2,
bio_102633,Cuoi cung ket thuc thoi loan lac Tam Quoc,F547F549F3E2F145F150F364F3AEF1ADF1EF,9,
bio_102693,Tu Ma Chieu,F0B3F34BF573,3,
bio_10269B,Ke thua quyen luc tuong quan,F3E5F14AF1EAF358F0A5F1F3,6,
bio_102711,Tu Ma Su,F0B3F34BF1BC,3,
bio_10271B,Nam quyen thuc te cua nha Nguoi,F2DAF1EAF145F179F54BF2A6F2AE,7,
bio_10276F,Dien Phong,F4DEF242,2,
bio_102775,Lai manh me chu truong khang chien lau dai voi Tao Thao,F3ADF341F2F7F561F0B5F3D9F574F379F4FAF05CF1A6F168,12,
bio_1027E9,Khi biet Thai Muu dinh am sat Luu Bi,F3D6F5D9F173F2DDF4D7F5F7F1CFF351F5DF,9,
bio_102889,Theo lenh Gia Cat Luong pho tro Quan Vu tri Kinh Chau,F15EF373F4A2F5B7F353F243F0C3F1F4F057F0CAF3B7F5A6,12,
bio_1028BD,Gia Cat Luong trong Bieu chinh tac ca nang tai cua Huong Sung,F4A2F5B7F353F0BEF5D7F56EF1B0F5C8F2D7F1AEF54BF3F1F1B6,13,
bio_102909,Ton Quyen rat danh gia cam dan va muu luoc cua ong,F0E0F1EBF1E3F4F2F4A1F5C0F4F6F074F2DCF355F54BF256,12,
bio_102971,[loi extract],5BF361F4B75D,2,
bio_102979,Mot trong nhung than cung co cong diet Tac Khuong,F2E6F0BEF26DF16EF549F552F54FF4DBF1B1F3C1,10,
bio_1029C9,Tung dich thu voi Luc Kang con cua Luc Ton o Tuong Duong,F0A9F4E0F14CF05CF359F3E6F551F54BF359F0E0F25BF0A7F4BD,13,
bio_102A55,Khong may thua tran va bi giet,F3C6F2F8F14AF0D3F074F5DEF475,7,
bio_102AAD,Tung danh bai Tao Tu khi Tao Phi chinh Ngo,F0A9F4F2F5ECF1A6F0B3F3D5F1A6F247F56EF2BD,10,
bio_102B01,Khi Tao Thao khoi binh danh Dong Trac thi gia nhap phe ong,F3D6F1A6F168F3C7F5D3F4F2F4CEF0D9F15CF4A1F27CF248F256,13,
bio_102B5D,Ly Nhu,F34EF272,2,
bio_102B65,Khi Dong Trac bi giet thi cung bi xu tu,F3D6F4CEF0D9F5DEF475F15CF549F5DEEFFDF0B1,10,
bio_102BDF,[loi extract],5BF361F4B75D,2,
bio_102BE5,O Mien Truc giao chien voi Hoang Trung ngang tam,F25CF2F4F0BBF478F574F05CF446F0B9F2C9F1AC,10,
bio_102C51,[loi extract],5BF361F4B75D,2,
bio_102C59,Sau trung ke Duong Bieu va Quach Phien chia re,F1CEF0B8F3E4F4BDF5D7F074F1F5F246F578F1E2,10,
bio_102CC9,Duoc Ha Hau Don gioi thieu nen Tao Thao trong dung,F4C0F46AF45CF4D0F473F156F2D0F1A6F168F0BEF4C2,11,
bio_102D65,[loi extract],5BF361F4B75D,2,
bio_102D70,Sau khi Quan Vu bi bat va chet,F1CEF3D5F1F4F057F5DEF5E4F074F57B,8,
bio_102DCD,[loi extract],5BF361F4B75D,2,
bio_102DD5,Van xong pha cuu Ton Quyen va Tu Thanh bi vay,F072F040F254F540F0E0F1EBF074F0B3F16AF5DEF06B,11,
bio_102E41,[loi extract],5BF361F4B75D,2,
bio_102E49,Luc Quan Vu nguy cap lai xui Luu Phong khong cuu,F359F1F4F057F2ACF5B8F3ACEFF8F351F242F3C4F540,11,
bio_102EE5,[loi extract],5BF361F4B75D,2,
bio_102EED,The Gia Cat Luong quyet dinh nam chinh binh dinh,F162F4A2F5B7F353F1E8F4D7F2D9F56EF5D3F4D7,10,
bio_102F65,Cung Manh Dat muu don Luu Bi vao Thuc,F54AF342F4EEF2DCF4CFF351F5DFF06EF146,9,
bio_102FCB,[loi extract],5BF361F4B75D,2,
bio_102FD1,Cuoi cung bi Truong Phi chem chet,F547F549F5DEF0B6F247F57CF57B,7,
bio_103051,Vi cha bi Cam Ninh ban chet nen thu han sau sac,F068F5AFF5DEF5C1F268F5EAF57BF2D0F14CF462F1CDF1DA,12,
bio_1030F0,Nhung vi cung chu bac phan doi Tao Thao xung Vuong,F26EF067F549F561F5EEF24EF4D1F1A6F168EFF7F052,11,
bio_10315D,Nen am muu don Luu Bi vao Thuc,F2D1F5F7F2DCF4CFF351F5DFF06EF146,8,
bio_103219,Vi the truoc khi chet Ton Sach co di chuc,F068F161F0B7F3D5F57BF0E0F1D9F552F4E2F55C,10,
bio_103295,[loi extract],5BF361F4B75D,2,
bio_10329D,Trong tran Quan Do phan sang phe Tao Thao,F0C0F0D3F1F4F4D6F24EF1D3F248F1A6F168,9,
bio_103321,[loi extract],5BF361F4B75D,2,
bio_103329,Khi Gia Cat Luong bac phat nha Nguoi,F3D6F4A2F5B7F353F5EEF24AF2A6F2AE,8,
bio_103389,Nhung cuoi cung tin loi Duong Tong ban nuoc cau vinh,F26EF546F549F0EAF361F4BDF0DEF5EAF25EF5B5F05F,11,
bio_1033F9,[loi extract],5BF361F4B75D,2,
bio_103401,Nhung sau cam phuc Tao Thao nen quy thuan,F26EF1CDF5C0F1FCF1A6F168F2D0F1ECF148,9,
bio_103469,Nho khau tai ba cuon khien Tao Thao bo y dinh do,F273F3D8F1AEF5F0F545F3D1F1A6F168F5D1EFF3F4D7F4D5,12,
bio_1034E5,Sau kien tri giu Lac Thanh chong Luu Bi,F1CEF3BBF0CAF471F3AFF16AF564F351F5DF,9,
bio_103551,Ong than danh quan Vien Thieu tai truong,F257F16EF4F2F1F3F063F157F1AEF0B5,8,
bio_1035FF,[loi extract],5BF361F4B75D,2,
bio_103605,Tu khi Tao Thao khoi binh da theo ong,F0B3F3D5F1A6F168F3C7F5D3F4FDF15DF256,9,
bio_103699,Xu tu tat ca Tao Sang va nhung nguoi lien quan,EFFEF0B1F17EF5C8F1A6F1D4F074F26DF2ADF36EF1F3,11,
bio_1036E1,Bat buoc ong lam tho trong bay buoc,F5E5F5CCF256F3A8F153F0BEF5E3F5CC,8,
bio_103770,Tu Vien,F0B3F063,2,
bio_103775,Trong tran Quan Do dau hang Tao Thao,F0C0F0D3F1F4F4D6F4EBF460F1A6F168,8,
bio_1037E1,[loi extract],5BF361F4B75D,2,
bio_1037E9,Sau khi Dong Trac chet lien quan Ly Tac danh Truong An,F1CEF3D5F4CEF0D9F57BF36EF1F3F34EF1B1F4F2F0B6F5F6,12,
bio_103835,La mot trong nhung mu si noi tieng cua Tao Thao,F3B1F2E5F0BEF26DF2E4F1C7F265F0F3F54BF1A6F168,11,
bio_1038B5,Cung khien quan Vien Thieu thua o Quan Do va diet vong,F54AF3D1F1F3F063F157F14AF25BF1F4F4D6F074F4DBF058,12,
bio_10394D,[loi extract],5BF361F4B75D,2,
bio_103955,Cam thay ong gian xao lanh lung nen roi bo,F5C1F163F256F47BF04CF37CF356F2D0F1E0F5D1,10,
